hosting,count
"GITHUB AS36459",23
"If P&C Insurance AS AS21147",23
"Planeetta Internet Oy AS58003",22
"JSC RTComm.RU AS8342",22
"NTHL AS11042",22
"PlusServer GmbH AS61157",22
"DNA Oyj AS16086",21
"Edicy (COGENT-174 AS174)",21
"Telset ltd AS51504",21
"AS Citadele banka AS16279",21
"SuperHosting.BG Ltd. AS201200",20
"AS Tallink Grupp AS43958",20
"MPY Telecom Oyj AS34263",20
"VNET a.s. AS29405",20
"Hangzhou Alibaba Advertising Co.,Ltd. AS37963",20
"HWSERVICES-32400 AS32400",19
"Leaseweb Deutschland GmbH AS28753",19
"Telia Lietuva, AB AS8764",19
"Nordisk Media Utveckling AB AS204074",19
"ASMALLORANGE1 AS62729",19
"Admax AB AS39806",19
"home.pl S.A. AS12824",18
"Websupport s.r.o. AS51013",18
"Zitcom A/S AS48854",18
"Sprinthost.ru LLC AS35278",18
"Iomart Cloud Services Limited AS20860",18
"SuperNetwork s.r.o. AS39392",18
"VSHosting s.r.o. AS43541",18
"LIQUIDWEB AS32244",18
"Telia Company AB AS3301",17
"Aruba S.p.A. AS31034",17
"HIGHWINDS3 AS20446",17
"DXTL Tseung Kwan O Service AS134548",17
"AS-COLOCROSSING AS36352",17
"Foundation Eesti Interneti Sihtasutus AS51349",17
"BROADBANDONE AS13645",17
"UUNET AS702",17
"LinkChina Telecom Global Limited. AS135386",17
"mono solutions ApS AS201595",16
"Zetta Hosting Solutions LLC. AS44476",16
"Telia Company AB AS1299",16
"VAS Latvijas Valsts radio un televizijas centrs AS8194",16
"Salva Kindlustuse AS AS197517",16
"Ltd Hostpro Lab AS196645",15
"Serveriai verslui, UAB AS201400",15
"Neue Medien Muennich GmbH AS34788",15
"Ficolo Oy AS49282",15
"NYINTERNET AS11403",15
"Levikom Eesti OU AS201321",15
"netcup GmbH AS197540",15
"Sentia Denmark A/S AS16095",15
"Mittwald CM Service GmbH & Co. KG AS15817",15
"MMD Networks Oy AS29243",14
"DYNDNS AS33517",14
"RMH-14 AS33070",14
"PONYNET AS53667",14
"HLL LLC AS197068",14
"PRIVATESYSTEMS AS63410",14
"Master Internet s.r.o. AS24971",14
"ATLANTIC-NET-1 AS6364",14
"Ilait AB AS61207",14
"23media GmbH AS47447",14
"InterNetWire Communications GmbH AS13246",14
"Mandala Internet EDV Service GmbH AS12460",14
"MissDomain Group AB AS200719",14
"Domeneshop AS AS12996",13
"Signet B.V. AS35470",13
"SpaceWeb Ltd AS44112",13
"Telia Latvija SIA AS5518",13
"ANS-1699-AS AS1699",13
"Serverius Holding B.V. AS50673",13
"Top Connect Ou AS42300",13
"Arvid Logicum OU AS202376",13
"Hostpoint AG AS29097",13
"State Infocommunication Foundation AS206844",13
"Webhost LLC AS44094",13
"Strato AG AS6724",13
"Namesco Limited AS8622",12
"IS-AS-1 AS19318",12
"Quickport OU AS204072",12
"BGPNET Global ASN AS64050",12
"M247 Ltd AS9009",12
"Ergo Kindlustuse AS AS196785",12
"Nordea Bank Abp AS201271",12
"World4You Internet Services GmbH AS38955",12
"LF.net Netzwerksysteme GmbH AS12374",12
"Soluciones Corporativas IP, SL AS57910",12
"MEDIATEMPLE AS31815",12
"myLoc managed IT AG AS24961",12
"Booking.com BV AS43996",12
"EPAG Domainservices GmbH AS12915",12
"Ou Northside Solutions AS200804",11
"AB DNB bankas AS24984",11
"SERVERS-COM AS7979",11
"Sun Network (Hong Kong) Limited - HongKong Backbone AS38197",11
"THEROCKETSCIENCEGROUP AS14782",11
"Bluewin AS3303",11
"ODERLAND Webbhotell AB AS44136",11
"Delticom Ag AS57533",11
"Planet (Zone Media OU AS49604)",11
"Republican Unitary Telecommunication Enterprise Beltelecom AS6697",11
