hosting,count
"OOO Network of data-centers Selectel AS49505",15
"mono solutions ApS AS201595",15
"AS Citadele banka AS16279",14
"BODIS-NJ AS395082",14
"home.pl S.A. AS12824",14
"HIGHWINDS3 AS20446",14
"SuperHosting.BG Ltd. AS201200",14
"HWSERVICES-32400 AS32400",14
"23media GmbH AS47447",13
"VSHosting s.r.o. AS43541",13
"Sprinthost.ru LLC AS35278",13
"Foundation Eesti Interneti Sihtasutus AS51349",13
"LIQUIDWEB AS32244",13
"NYINTERNET AS11403",13
"VAS Latvijas Valsts radio un televizijas centrs AS8194",13
"Zitcom A/S AS48854",13
"DNA Oyj AS16086",13
"Hangzhou Alibaba Advertising Co.,Ltd. AS37963",12
"CSC Administrative Services Limited AS34922",12
"Zetta Hosting Solutions LLC. AS44476",12
"Admax AB AS39806",12
"PONYNET AS53667",12
"Aruba S.p.A. AS31034",12
"DYNDNS AS33517",12
"Ilait AB AS61207",12
"Hostpoint AG AS29097",12
"Strato AG AS6724",12
"PlusServer GmbH AS61157",12
"MMD Networks Oy AS29243",12
"Mittwald CM Service GmbH & Co. KG AS15817",12
"ASMALLORANGE1 AS62729",12
"PRIVATESYSTEMS AS63410",12
"Domeneshop AS AS12996",11
"M247 Ltd AS9009",11
"Neue Medien Muennich GmbH AS34788",11
"Iomart Cloud Services Limited AS20860",11
"ATLANTIC-NET-1 AS6364",11
"Ou Northside Solutions AS200804",11
"Ficolo Oy AS49282",11
"MEDIATEMPLE AS31815",11
"Telia Latvija SIA AS5518",11
"Arvid Logicum OU AS202376",11
"IS-AS-1 AS19318",11
"HLL LLC AS197068",10
"Dimension Network & Communication Limited AS59371",10
"InterNetWire Communications GmbH AS13246",10
"LF.net Netzwerksysteme GmbH AS12374",10
"Sentia Denmark A/S AS16095",10
"UUNET AS702",10
"BGPNET Global ASN AS64050",10
"T-Mobile Czech Republic a.s. AS5588",10
"Telia Company AB AS3301",10
"AS-COLOCROSSING AS36352",10
"BROADBANDONE AS13645",10
"AKAMAI-AS AS16625",10
"ODERLAND Webbhotell AB AS44136",9
"AS Tallink Grupp AS43958",9
"METANET AG AS21069",9
"Delticom Ag AS57533",9
"Telefonica De Espana AS3352",9
